person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_int_rate
20,77000,MORTGAGE,4.0,VENTURE,A,6000,0,0.08,false,2,8.0
20,85920,MORTGAGE,3.0,DEBTCONSOLIDATION,A,12000,0,0.14,false,2,8.49
20,188004,MORTGAGE,4.0,EDUCATION,A,2000,0,0.01,false,4,8.59
20,188004,MORTGAGE,4.0,PERSONAL,A,2000,0,0.01,false,2,8.59
20,65000,MORTGAGE,4.0,VENTURE,B,4800,0,0.07,false,4,9.99
20,65000,MORTGAGE,4.0,EDUCATION,B,4800,0,0.07,false,2,9.99
20,115731,MORTGAGE,4.0,DEBTCONSOLIDATION,B,9625,0,0.08,false,3,10.74
20,77052,MORTGAGE,4.0,EDUCATION,B,24250,0,0.31,false,2,11.36
20,42000,RENT,4.0,VENTURE,B,6500,0,0.15,false,2,11.71
20,34800,RENT,3.0,MEDICAL,C,7000,0,0.2,true,2,13.61
20,32652,MORTGAGE,0.0,PERSONAL,D,6000,1,0.18,false,4,14.61
20,64000,RENT,3.0,VENTURE,D,16000,1,0.25,true,4,15.31
20,98000,MORTGAGE,4.0,EDUCATION,D,24250,0,0.25,false,4,15.36069809610154
20,135000,MORTGAGE,1.0,VENTURE,C,15000,0,0.11,true,2,15.96
20,94000,RENT,4.0,EDUCATION,D,5000,0,0.05,false,3,16.02
21,18000,RENT,1.0,EDUCATION,A,2000,0,0.11,false,3,5.42
21,72000,RENT,3.0,EDUCATION,A,6000,0,0.08,false,4,5.42
21,36000,OWN,,EDUCATION,A,11000,0,0.31,false,3,5.42
21,57000,RENT,3.0,VENTURE,A,3000,0,0.05,false,2,5.42
21,40000,RENT,5.0,MEDICAL,A,3600,0,0.09,false,4,5.42
21,32000,RENT,5.0,DEBTCONSOLIDATION,A,6000,0,0.19,false,4,5.42
21,27000,RENT,5.0,VENTURE,A,5000,0,0.19,false,3,5.42
21,45000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6250,0,0.14,false,3,5.42
